text,emotion
I can't stand this!,disgust
This makes me furious right now,angry
I want to cry...,sad
This makes me uncomfortable,disgust
I feel down right now,sad
Something is wrong today,fear
This makes me smile!,happy
This is surprising,surprise
This is disgusting today,disgust
It is a normal day,neutral
I feel sick seeing this today,disgust
I feel great today,happy
This makes me uncomfortable...,disgust
Unbelievable result right now,surprise
I didn't expect this,surprise
Wow this is amazing right now,surprise
Wow this is amazing!,surprise
This is gross!,disgust
Just another day really,neutral
Something is wrong,fear
I am disgusted by this honestly,disgust
This makes me furious!,angry
I am worried about this!,fear
I am scared right now right now,fear
I am very happy today,happy
This is terrifying today,fear
I feel unsafe honestly,fear
This hurts a lot honestly,sad
It is a normal day today,neutral
Nothing special about this really,neutral
I am scared right now honestly,fear
This is depressing today,sad
No strong feelings today,neutral
Life is beautiful!,happy
This is disgusting today,disgust
This makes me smile...,happy
This hurts a lot honestly,sad
I am enjoying this honestly,happy
This is okay...,neutral
This makes me furious honestly,angry
I am really angry about this!,angry
I feel lonely honestly,sad
I feel great,happy
This makes me nervous really,fear
Nothing special about this,neutral
This is surprising honestly,surprise
This came out of nowhere right now,surprise
This is okay really,neutral
I feel amazing right now,happy
I am shocked!,surprise
Something is wrong!,fear
I feel hopeless today,sad
This makes me uncomfortable,disgust
I didn't expect this really,surprise
I am worried about this...,fear
I feel like shouting honestly,angry
I am enjoying this,happy
I am disgusted by this...,disgust
This makes me uncomfortable honestly,disgust
Nothing special about this...,neutral
Wow this is amazing,surprise
It is a normal day really,neutral
Wow this is amazing,surprise
This makes me smile honestly,happy
I feel neutral right now,neutral
This looks horrible,disgust
This is unexpected today,surprise
This makes me nervous...,fear
This is wonderful honestly,happy
It is a normal day...,neutral
I feel amazing really,happy
This is heartbreaking right now,sad
I am anxious about this,fear
This is very unpleasant!,disgust
I am enjoying this...,happy
I want to cry really,sad
I feel amazing,happy
I can't tolerate this anymore right now,angry
No strong feelings today,neutral
This makes me furious,angry
I feel neutral!,neutral
This is disgusting really,disgust
This makes me smile right now,happy
I am really angry about this today,angry
I am losing my patience today,angry
This makes me smile,happy
This makes me smile right now,happy
I feel lonely honestly,sad
I am anxious about this right now,fear
This looks horrible,disgust
I feel neutral!,neutral
I feel like shouting!,angry
This is gross right now,disgust
This is okay honestly,neutral
I can't stand this really,disgust
This is surprising,surprise
It is a normal day really,neutral
I feel hopeless really,sad
I can't stand this really,disgust
I feel down today,sad
I am scared right now...,fear
This is gross!,disgust
Why is this happening again!,angry
This is heartbreaking...,sad
This is surprising really,surprise
This is depressing,sad
I am really angry about this,angry
This makes me uncomfortable honestly,disgust
I am disgusted by this right now,disgust
I didn't expect this honestly,surprise
This is depressing today,sad
This is unexpected right now,surprise
I want to cry right now,sad
It is a normal day...,neutral
I am really angry about this!,angry
This is wonderful...,happy
No strong feelings honestly,neutral
I can't tolerate this anymore,angry
This makes me nervous right now,fear
This makes me furious today,angry
I am anxious about this,fear
I can't stand this,disgust
This makes me nervous today,fear
I feel amazing honestly,happy
Something is wrong!,fear
I am scared right now!,fear
I am amazed honestly,surprise
This is wonderful really,happy
This is disgusting right now,disgust
It works fine,neutral
This is surprising...,surprise
This makes me furious,angry
This is wonderful honestly,happy
This is disgusting honestly,disgust
I can't tolerate this anymore today,angry
This is average today,neutral
This makes me smile right now,happy
This is wonderful,happy
Just another day,neutral
I feel neutral...,neutral
This came out of nowhere right now,surprise
I can't tolerate this anymore,angry
I can't tolerate this anymore today,angry
Unbelievable result really,surprise
This is unexpected!,surprise
I am shocked today,surprise
I can't stand this!,disgust
I feel great,happy
I feel like shouting today,angry
I am shocked,surprise
This makes me nervous really,fear
I can't stand this right now,disgust
This makes me uncomfortable!,disgust
This came out of nowhere!,surprise
This is depressing!,sad
This is unexpected!,surprise
This makes me furious honestly,angry
This hurts a lot honestly,sad
This is completely unfair right now,angry
Wow this is amazing really,surprise
This is completely unfair really,angry
This hurts a lot really,sad
I feel great today,happy
I feel hopeless right now,sad
Why is this happening again really,angry
This makes me uncomfortable right now,disgust
Why is this happening again today,angry
This makes me uncomfortable,disgust
I feel like shouting!,angry
I feel lonely really,sad
I feel hopeless today,sad
I am very happy today really,happy
I can't stand this honestly,disgust
This came out of nowhere,surprise
I am enjoying this,happy
Something is wrong really,fear
Something is wrong...,fear
I feel amazing!,happy
This is so frustrating today,angry
I am anxious about this...,fear
This is okay really,neutral
Nothing special about this today,neutral
This is disgusting!,disgust
This is depressing,sad
I am shocked...,surprise
Wow this is amazing really,surprise
I am shocked!,surprise
I feel unsafe!,fear
This is wonderful honestly,happy
Life is beautiful honestly,happy
I can't stand this...,disgust
This is average really,neutral
I am amazed honestly,surprise
I can't stand this really,disgust
No strong feelings...,neutral
I am amazed...,surprise
This is terrifying,fear
This is so frustrating...,angry
This is surprising!,surprise
Why is this happening again really,angry
This is wonderful right now,happy
I am really angry about this right now,angry
This came out of nowhere,surprise
Just another day...,neutral
I feel like shouting!,angry
This looks horrible,disgust
I can't tolerate this anymore really,angry
I am really angry about this honestly,angry
I am worried about this!,fear
Why is this happening again really,angry
This is average,neutral
I feel great honestly,happy
Nothing special about this,neutral
This looks horrible honestly,disgust
I feel neutral honestly,neutral
I feel down really,sad
I am losing my patience honestly,angry
No strong feelings!,neutral
I feel great,happy
This is so frustrating today,angry
I feel very sad,sad
I feel hopeless honestly,sad
This is very unpleasant,disgust
I feel afraid honestly,fear
I am shocked!,surprise
I am very happy today honestly,happy
Wow this is amazing...,surprise
This is heartbreaking,sad
I feel down really,sad
I want to cry really,sad
This is unexpected honestly,surprise
This hurts a lot right now,sad
I am losing my patience...,angry
This is unexpected right now,surprise
This is surprising really,surprise
Unbelievable result,surprise
I am worried about this really,fear
I feel great honestly,happy
Wow this is amazing right now,surprise
I feel unsafe...,fear
This is the best...,happy
I am worried about this!,fear
I am disgusted by this right now,disgust
I want to cry...,sad
I am really angry about this today,angry
This makes me furious,angry
I feel hopeless...,sad
This is depressing right now,sad
This hurts a lot,sad
I didn't expect this really,surprise
This came out of nowhere right now,surprise
It works fine!,neutral
This is completely unfair...,angry
Wow this is amazing!,surprise
This makes me smile today,happy
I feel unsafe today,fear
I feel down...,sad
This came out of nowhere today,surprise
This is wonderful right now,happy
This is gross,disgust
I am losing my patience honestly,angry
This makes me smile today,happy
I am scared right now right now,fear
I am anxious about this today,fear
I feel like shouting today,angry
This makes me uncomfortable today,disgust
I am amazed honestly,surprise
This makes me furious really,angry
This is gross really,disgust
I didn't expect this right now,surprise
No strong feelings!,neutral
I can't tolerate this anymore,angry
I am really angry about this right now,angry
Life is beautiful today,happy
I am scared right now really,fear
This makes me uncomfortable honestly,disgust
This makes me uncomfortable right now,disgust
I feel neutral honestly,neutral
It is a normal day today,neutral
I am amazed honestly,surprise
I am really angry about this really,angry
Nothing special about this honestly,neutral
This is depressing,sad
I feel sick seeing this today,disgust
Just another day honestly,neutral
This is very unpleasant!,disgust
Something is wrong!,fear
This is very unpleasant honestly,disgust
I can't tolerate this anymore...,angry
This hurts a lot really,sad
This is depressing honestly,sad
I feel hopeless,sad
This hurts a lot,sad
I feel sick seeing this today,disgust
It works fine today,neutral
I am losing my patience honestly,angry
It works fine!,neutral
I am scared right now really,fear
I want to cry today,sad
I am anxious about this...,fear
This is average,neutral
It works fine today,neutral
I feel great!,happy
I am enjoying this really,happy
I can't tolerate this anymore today,angry
This looks horrible,disgust
This is disgusting...,disgust
I feel very sad right now,sad
I am enjoying this...,happy
I feel down really,sad
I am enjoying this...,happy
I am really angry about this...,angry
I can't stand this...,disgust
I feel hopeless,sad
I feel sick seeing this!,disgust
Why is this happening again today,angry
I feel neutral today,neutral
This is depressing,sad
Nothing special about this really,neutral
I feel sick seeing this right now,disgust
It works fine today,neutral
This is unexpected really,surprise
I am really angry about this really,angry
It works fine!,neutral
It is a normal day honestly,neutral
I feel amazing right now,happy
This looks horrible,disgust
I can't stand this right now,disgust
